Nom,Date,Température,Pression au niveau mer,Humidité
AJACCIO,2018-07-21,299.32499999999993,101073.75,57.125
KERGUELEN,2018-07-21,280.7214285714286,100642.85714285714,71.71428571428571
LILLE-LESQUIN,2018-07-21,294.4,101306.25,59.25
GILLOT-AEROPORT,2018-07-21,294.04999999999995,102520.0,72.75
CAP CEPET,2018-07-21,297.675,101016.25,69.125
NOUVELLE AMSTERDAM,2018-07-21,284.71666666666664,102506.66666666667,70.0
TROYES-BARBEREY,2018-07-21,293.425,101356.25,69.75
GOURDON,2018-07-21,291.525,101632.5,68.125
BASTIA,2018-07-21,298.48750000000007,101060.0,79.25
NANCY-OCHEY,2018-07-21,293.0,101265.0,69.875
BELLE ILE-LE TALUT,2018-07-21,291.4125,101553.75,87.5
ST-BARTHELEMY METEO,2018-07-21,,,
ABBEVILLE,2018-07-21,291.65,101392.5,77.5
ST-PIERRE,2018-07-21,287.86249999999995,102773.75,78.625
DIJON-LONGVIC,2018-07-22,294.84999999999997,101485.0,57.125
AJACCIO,2018-07-22,297.6125,101276.25,69.375
NOUVELLE AMSTERDAM,2018-07-22,284.75,102625.0,80.5
ST-PIERRE,2018-07-22,287.5375,102846.25,96.0
LAMENTIN-AERO,2018-07-22,300.93750000000006,101477.5,69.375
ALENCON,2018-07-22,292.7625,101723.75,71.875
CLERMONT-FD,2018-07-22,293.2125,101576.25,65.0
BORDEAUX-MERIGNAC,2018-07-22,294.3875,101763.75,72.875
TOURS,2018-07-22,294.075,101692.5,64.625
ST-PIERRE,2018-07-13,288.51,102726.0,65.8
EMBRUN,2018-07-13,299.33000000000004,,33.2
BASTIA,2018-07-13,300.63,101702.0,65.6
TROMELIN,2018-07-13,297.23,101902.0,69.8
LAMENTIN-AERO,2018-07-13,299.81,101704.0,83.6
ABBEVILLE,2018-07-13,295.89,102072.0,55.4
ORLY,2018-07-13,297.96999999999997,101906.0,53.6
MARIGNANE,2018-07-13,303.35,101654.0,34.4
TROYES-BARBEREY,2018-07-13,299.40999999999997,101816.0,44.8
BREST-GUIPAVAS,2018-07-14,292.12500000000006,102062.5,73.5
MONTPELLIER,2018-07-14,298.96250000000003,101563.75,59.625
ABBEVILLE,2018-07-14,294.175,101962.5,62.5
TROMELIN,2018-07-14,296.7,101858.75,74.625
LE PUY-LOUDES,2018-07-14,292.61249999999995,,68.125
TARBES-OSSUN,2018-07-14,296.77500000000003,101600.0,74.75
PLOUMANAC'H,2018-07-14,290.625,102092.5,86.5
TROYES-BARBEREY,2018-07-14,296.05,101748.75,58.875
LIMOGES-BELLEGARDE,2018-07-14,295.41249999999997,101683.75,58.125
ST-PIERRE,2018-07-14,282.8875,102732.5,90.125
POITIERS-BIARD,2018-07-14,296.175,101743.75,56.0
CLERMONT-FD,2018-07-14,295.4875,101656.25,60.875
ST GIRONS,2018-07-14,296.36249999999995,101601.25,73.0
ROUEN-BOOS,2018-07-15,294.67499999999995,101586.25,62.125
EMBRUN,2018-07-15,294.76250000000005,,55.25
MONT-DE-MARSAN,2018-07-15,298.04999999999995,101453.75,72.875
BREST-GUIPAVAS,2018-07-15,292.8625,101705.0,64.25
TROMELIN,2018-07-15,296.975,101811.25,59.625
PTE DE LA HAGUE,2018-07-15,289.5642857142857,101745.71428571429,79.0
CLERMONT-FD,2018-07-15,295.4,101413.75,63.0
GLORIEUSES,2018-07-15,298.2625,101747.5,75.75
NOUVELLE AMSTERDAM,2018-07-15,283.98333333333335,103295.0,77.0
CAYENNE-MATOURY,2018-07-15,299.7375,101457.5,87.0
STRASBOURG-ENTZHEIM,2018-07-15,294.9375,101503.75,66.75
POITIERS-BIARD,2018-07-15,297.71250000000003,101441.25,52.75
PERPIGNAN,2018-07-15,299.7375,101386.25,61.375
BOURGES,2018-07-15,297.8625,101415.0,50.75
MONT-DE-MARSAN,2018-07-18,296.8875,101513.75,69.625
ABBEVILLE,2018-07-18,292.22499999999997,101896.25,60.75
PTE DE LA HAGUE,2018-07-18,290.3625,101928.57142857143,85.28571428571429
LE PUY-LOUDES,2018-07-18,292.26250000000005,,60.375
AJACCIO,2018-07-18,297.275,101538.75,76.5
PERPIGNAN,2018-07-18,298.41249999999997,101520.0,57.75
GLORIEUSES,2018-07-18,297.45,101738.75,74.5
LAMENTIN-AERO,2018-07-18,301.0125,101585.0,78.625
DIJON-LONGVIC,2018-07-18,295.925,101615.0,53.75
TROYES-BARBEREY,2018-07-18,295.34999999999997,101718.75,56.625
CLERMONT-FD,2018-07-18,294.54999999999995,101661.25,60.875
REIMS-PRUNAY,2018-07-19,295.8375,101700.0,47.375
BREST-GUIPAVAS,2018-07-19,290.1875,101945.0,76.25
BELLE ILE-LE TALUT,2018-07-19,292.075,101753.75,71.125
LE PUY-LOUDES,2018-07-19,293.9,,56.875
MARIGNANE,2018-07-19,299.7,101368.75,55.375
AJACCIO,2018-07-19,298.3625,101443.75,66.125
KERGUELEN,2018-07-19,275.4785714285714,99728.57142857143,71.57142857142857
ALENCON,2018-07-19,294.05,101666.25,63.75
DIJON-LONGVIC,2018-06-02,275.4625,101166.25,88.375
CROZET,2018-06-02,278.45,102008.57142857143,39.714285714285715
CAEN-CARPIQUET,2018-06-02,275.5625,101526.25,77.25
LE PUY-LOUDES,2018-06-02,272.475,,86.75
LAMENTIN-AERO,2018-06-02,298.72499999999997,101652.5,75.5
BREST-GUIPAVAS,2018-06-02,276.05,101880.0,80.375
PERPIGNAN,2018-06-02,278.825,101035.0,62.625
STRASBOURG-ENTZHEIM,2018-06-02,273.9875,101340.0,82.25
MONTPELLIER,2018-06-02,278.35,101003.75,86.375
NICE,2018-06-02,282.8125,100897.5,64.5
GILLOT-AEROPORT,2018-06-02,299.3625,101001.25,75.125
SAINT GEORGES,2018-06-02,298.21250000000003,101115.0,84.5
ORLY,2018-07-02,272.0,101633.75,86.625
STRASBOURG-ENTZHEIM,2018-07-02,273.25000000000006,101408.75,84.25
ROUEN-BOOS,2018-07-02,273.38750000000005,101788.75,68.625
GOURDON,2018-07-02,272.9,101731.25,86.25
MONTELIMAR,2018-07-02,275.5625,101250.0,68.75
GLORIEUSES,2018-07-02,301.39285714285717,101137.14285714286,75.42857142857143
NOUVELLE AMSTERDAM,2018-07-02,293.12142857142857,102404.28571428571,81.85714285714286
ABBEVILLE,2018-07-02,273.1625,101812.5,70.25
TOURS,2018-07-02,272.35,101726.25,83.375
PTE DE LA HAGUE,2018-07-02,278.0875,102053.75,64.625
RENNES-ST JACQUES,2018-07-02,275.52500000000003,101958.75,78.0
CAYENNE-MATOURY,2018-07-02,299.0625,101226.25,78.5
LE PUY-LOUDES,2018-07-02,269.1375,,80.0
PLOUMANAC'H,2018-07-02,277.6625,102180.0,67.75
SAINT GEORGES,2018-07-02,298.4125,101157.5,89.25
CAEN-CARPIQUET,2018-08-02,275.77500000000003,102121.25,81.125
RENNES-ST JACQUES,2018-08-02,275.22499999999997,102196.25,77.5
CLERMONT-FD,2018-08-02,271.79285714285714,102137.14285714286,88.85714285714286
TROMELIN,2018-08-02,301.51250000000005,100985.0,78.5
TARBES-OSSUN,2018-08-02,272.8,102265.0,83.875
MONTPELLIER,2018-08-02,277.25,101793.75,55.5
TOULOUSE-BLAGNAC,2018-08-02,273.3125,102211.25,84.5
BASTIA,2018-08-02,282.125,101422.5,59.875
KERGUELEN,2018-08-02,285.27500000000003,101910.0,66.75
LYON-ST EXUPERY,2018-10-02,275.13750000000005,102012.5,77.875
ABBEVILLE,2018-10-02,276.8,101605.0,78.5
CAEN-CARPIQUET,2018-10-02,277.025,101723.75,84.0
GOURDON,2018-10-02,273.8375,102322.5,83.625
ST GIRONS,2018-10-02,274.8125,102427.5,73.0
LE RAIZET AERO,2018-10-02,297.87499999999994,101801.25,78.125
LAMENTIN-AERO,2018-10-02,299.1375,101668.75,75.375
LILLE-LESQUIN,2018-10-02,275.8625,101541.25,85.25
TROYES-BARBEREY,2018-10-02,274.7375,101940.0,85.5
STRASBOURG-ENTZHEIM,2018-10-02,275.3875,101847.5,84.0
BELLE ILE-LE TALUT,2018-10-02,281.625,102000.0,81.0
PERPIGNAN,2018-10-02,279.24999999999994,101902.5,49.625
EUROPA,2018-10-02,300.15000000000003,100961.25,75.125
LILLE-LESQUIN,2018-11-02,278.25,100436.25,77.875
TOURS,2018-11-02,279.7125,101180.0,83.0
BALE-MULHOUSE,2018-11-02,275.4875,101247.5,81.5
ALENCON,2018-11-02,278.575,101050.0,85.125
AJACCIO,2018-11-02,280.5,101240.0,77.0
LE PUY-LOUDES,2018-11-02,272.2875,,86.375
LA DESIRADE METEO,2018-11-02,298.8375,101798.75,71.0
MONTPELLIER,2018-11-02,280.1125,101465.0,57.75
PLOUMANAC'H,2018-11-02,280.6375,101202.5,69.25
